CREATION_DATE,OBJECT_ID,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE
2021-11-01T06:36:11,2001-055B,605.57.00,PAYLOAD,LARGE,STATI UNITI,2001,AFWTR
2021-11-01T04:58:37,2001-055D,1331.06.00,DEBRIS,LARGE,STATI UNITI,2001,AFWTR
2021-10-31T22:36:11,2001-056A,1006.04.00,PAYLOAD,LARGE,EX USSR,2001,TTMTR
2021-11-01T06:16:13,2001-056B,984.08.00,PAYLOAD,MEDIUM,EX USSR,2001,TTMTR
2021-11-01T04:58:37,2001-056C,990.09.00,PAYLOAD,MEDIUM,PAKISTAN,2001,TTMTR
2021-11-01T04:58:37,2001-056D,987.05.00,PAYLOAD,MEDIUM,GERMANIA,2001,TTMTR
2021-11-01T04:58:37,2001-056E,989.14.00,PAYLOAD,MEDIUM,EX USSR,2001,TTMTR
2021-11-01T04:58:37,2001-056F,997.05.00,ROCKET BODY,LARGE,EX USSR,2001,TTMTR
2021-11-01T06:26:11,2001-056G,977.14.00,DEBRIS,SMALL,EX USSR,2001,TTMTR
2021-10-31T18:07:15,1986-026J,441.08.00,DEBRIS,MEDIUM,FRANCIA,1986,FRANCIAGUI
2021-11-01T04:58:37,1988-081J,562.26.00,DEBRIS,MEDIUM,FRANCIA,1988,FRANCIAGUI
2021-11-01T06:16:13,1988-081K,738.34.00,DEBRIS,MEDIUM,FRANCIA,1988,FRANCIAGUI
2021-10-31T18:07:15,1989-006J,639.31.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-11-01T04:58:37,1989-006K,507.57.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-11-01T04:58:37,1989-006L,392.19.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-11-01T06:36:11,1989-006M,517.46.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-10-31T22:46:11,1989-006N,504.21.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-10-30T18:17:17,1989-006P,722.06.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-10-29T18:22:41,1989-006Q,532.19.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-10-31T18:07:15,1989-006U,610.33.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-10-30T18:17:17,1989-006V,911.38.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-10-30T18:17:17,1989-006W,468.09.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-10-31T18:07:15,1989-006X,682.32.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-10-30T18:17:17,1989-006Y,689.29.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-10-31T18:07:15,1989-006Z,509.55.00,DEBRIS,SMALL,FRANCIA,1989,FRANCIAGUI
2021-10-29T06:36:12,1989-006AB,836.21.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-11-01T06:46:11,1989-062K,413.32.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-11-01T14:56:11,1989-062L,352.05.00,DEBRIS,LARGE,FRANCIA,1989,FRANCIAGUI
2021-10-31T14:36:11,1989-062M,347.46.00,DEBRIS,MEDIUM,FRANCIA,1989,FRANCIAGUI
2021-10-30T18:17:17,1990-065U,318.34.00,DEBRIS,MEDIUM,STATI UNITI,1990,AFETR
2021-11-01T04:58:37,2001-058A,1417.07.00,PAYLOAD,MEDIUM,EX USSR,2001,PKMTR
2021-11-01T14:36:10,2001-058B,1419.13.00,PAYLOAD,MEDIUM,EX USSR,2001,PKMTR
2021-11-01T04:58:37,2001-058C,1426.26.00,PAYLOAD,MEDIUM,EX USSR,2001,PKMTR
2021-11-01T14:46:11,2001-058D,1428.23.00,PAYLOAD,MEDIUM,EX USSR,2001,PKMTR
2021-11-01T08:16:10,2001-058E,1425.21.00,PAYLOAD,MEDIUM,EX USSR,2001,PKMTR
2021-11-01T09:56:10,2001-058F,1412.16.00,PAYLOAD,MEDIUM,EX USSR,2001,PKMTR
2021-11-01T06:16:13,2001-058G,1430.17.00,ROCKET BODY,LARGE,EX USSR,2001,PKMTR
2021-11-01T04:58:37,2001-049AH,565.17.00,DEBRIS,MEDIUM,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049AR,318.26.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049BP,509.05.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049BR,470.39.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049BT,659.26.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-10-31T22:16:10,2001-049BU,608.55.00,DEBRIS,MEDIUM,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049BW,573.01.00,DEBRIS,MEDIUM,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049BX,549.25.00,DEBRIS,MEDIUM,INDIA,2001,SRI
2021-11-01T06:36:11,2001-049BY,491.37.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049BZ,578.22.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049CA,627.56.00,DEBRIS,MEDIUM,INDIA,2001,SRI
2021-11-01T06:36:11,2001-049CC,521.45.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049CD,665.15.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049CG,578.09.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049CM,596.44.00,DEBRIS,MEDIUM,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049CN,650.06.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049CS,602.56.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049CT,515.17.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T06:36:11,2001-049CW,500.27.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049CX,528.53.00,DEBRIS,MEDIUM,INDIA,2001,SRI
2021-11-01T04:58:37,2001-049CY,592.24.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-10-31T18:07:15,2001-049CZ,565.06.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T06:46:11,2001-049DG,649.25.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T06:46:11,2001-049FL,529.13.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-10-31T23:06:11,2001-049FN,496.22.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T14:36:10,2001-049FW,572.17.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T14:56:11,2001-049HB,575.22.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T06:46:11,2001-049HP,576.38.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-10-31T18:07:15,2002-002A,36018.37.00,PAYLOAD,LARGE,INDIA,2002,FRANCIAGUI
2021-11-01T14:46:11,2002-002B,457.59.00,ROCKET BODY,LARGE,FRANCIA,2002,FRANCIAGUI
2021-11-01T04:58:37,2001-049KB,622.57.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-11-01T14:36:10,2001-049MA,520.54.00,DEBRIS,SMALL,INDIA,2001,SRI
2021-10-29T18:22:41,2002-003A,252.32.00,PAYLOAD,LARGE,GIAPPONE,2002,TNSTA
2021-11-01T04:58:37,2002-003B,471.09.00,PAYLOAD,LARGE,GIAPPONE,2002,TNSTA
2021-11-01T14:36:10,2002-003C,1061.59.00,ROCKET BODY,LARGE,GIAPPONE,2002,TNSTA
2021-11-01T04:58:37,2002-004A,460.28.00,PAYLOAD,LARGE,STATI UNITI,2002,ERAS
2021-11-01T04:58:37,2002-004B,536.27.00,ROCKET BODY,LARGE,STATI UNITI,2002,ERAS
2021-11-01T06:26:11,2002-006A,35787.42.00,PAYLOAD,LARGE,STATI UNITI,2002,AFETR
2021-11-01T04:58:37,2002-007A,35786.16.00,PAYLOAD,LARGE,INTELSAT,2002,FRANCIAGUI
2021-10-31T18:07:15,1999-057MJ,573.41.00,DEBRIS,SMALL,CINA,1999,TSC
2021-11-01T04:58:37,1999-057MK,534.44.00,DEBRIS,SMALL,CINA,1999,TSC
2021-11-01T04:58:37,2002-009A,764.06.00,PAYLOAD,LARGE,STATI IN EST/ SUD AFRICA,2002,FRANCIAGUI
2021-11-01T06:36:11,2002-009B,758.36.00,ROCKET BODY,LARGE,FRANCIA,2002,FRANCIAGUI
2021-11-01T04:58:37,2002-011A,35696.25.00,PAYLOAD,LARGE,STATI UNITI,2002,AFETR
2021-11-01T06:46:11,2002-011B,167.55.00,ROCKET BODY,LARGE,STATI UNITI,2002,AFETR
2021-11-01T04:58:37,2002-015A,36110.29.00,PAYLOAD,LARGE,GIAPPONE,2002,FRANCIAGUI
2021-10-31T18:07:15,2002-015B,35781.09.00,PAYLOAD,LARGE,SEYCHELLES,2002,FRANCIAGUI
2021-11-01T04:58:37,2002-015D,322.31.00,ROCKET BODY,LARGE,FRANCIA,2002,FRANCIAGUI
2021-11-01T14:56:11,2002-016A,36148.08.00,PAYLOAD,LARGE,INTELSAT,2002,TTMTR
2021-11-01T06:36:11,2002-016B,3444.56.00,ROCKET BODY,LARGE,EX USSR,2002,TTMTR
2021-10-29T06:56:11,1990-065W,288.17.00,DEBRIS,MEDIUM,STATI UNITI,1990,AFETR
2021-11-01T06:26:11,1966-040AL,1023.02.00,DEBRIS,SMALL,STATI UNITI,1966,AFWTR
2021-11-01T04:58:37,2002-019A,35776.37.00,PAYLOAD,LARGE,SEYCHELLES,2002,FRANCIAGUI
2021-11-01T04:58:37,2002-021A,623.36.00,PAYLOAD,LARGE,FRANCIA,2002,FRANCIAGUI
2021-11-01T06:36:11,2002-021B,791.45.00,PAYLOAD,LARGE,FRANCIA,2002,FRANCIAGUI
2021-11-01T06:36:11,2002-022A,717.37.00,PAYLOAD,LARGE,STATI UNITI,2002,AFWTR
2021-11-01T04:58:37,2002-023A,35787.02.00,PAYLOAD,LARGE,STATI UNITI,2002,TTMTR
2021-10-31T18:07:15,2002-023D,6370.34.00,ROCKET BODY,LARGE,EX USSR,2002,TTMTR
2021-11-01T06:56:12,2002-024A,786.09.00,PAYLOAD,LARGE,CINA,2002,TSC
2021-11-01T04:58:37,2002-024B,860.23.00,PAYLOAD,LARGE,CINA,2002,TSC
2021-11-01T06:46:11,2002-024C,811.12.00,ROCKET BODY,LARGE,CINA,2002,TSC
2021-11-01T04:58:37,2002-024D,852.53.00,DEBRIS,LARGE,CINA,2002,TSC
2021-11-01T04:58:37,2002-026A,958.38.00,PAYLOAD,LARGE,EX USSR,2002,PKMTR
2021-11-01T04:58:37,2002-026B,953.23.00,ROCKET BODY,LARGE,EX USSR,2002,PKMTR
2021-11-01T04:58:37,2002-027A,35778.48.00,PAYLOAD,LARGE,INTELSAT,2002,FRANCIAGUI
2021-11-01T06:16:13,2002-029A,36083.09.00,PAYLOAD,LARGE,EX USSR,2002,TTMTR
2021-11-01T04:58:37,2002-029D,36019.41.00,ROCKET BODY,LARGE,EX USSR,2002,TTMTR
2021-11-01T14:36:10,2002-030A,35793.08.00,PAYLOAD,LARGE,STATI UNITI,2002,SEA LAUNCH DEMO
2021-11-01T04:58:37,2002-030B,374.36.00,ROCKET BODY,LARGE,SEA LAUNCH DEMO,2002,SEA LAUNCH DEMO
2021-11-01T04:58:37,2002-032A,803.59.00,PAYLOAD,LARGE,STATI UNITI,2002,AFWTR
2021-11-01T04:58:37,2002-035A,35769.54.00,PAYLOAD,LARGE,EUTELSAT,2002,FRANCIAGUI
2021-11-01T04:58:37,2002-035B,36133.37.00,PAYLOAD,LARGE,GIAPPONE,2002,FRANCIAGUI
2021-11-01T04:58:37,2002-035C,650.29.00,ROCKET BODY,LARGE,FRANCIA,2002,FRANCIAGUI
2021-11-01T04:58:37,2002-035D,643.24.00,DEBRIS,LARGE,FRANCIA,2002,FRANCIAGUI
2021-11-01T10:46:10,2002-036A,1467.42.00,PAYLOAD,MEDIUM,EX USSR,2002,PKMTR
2021-11-01T12:16:11,2002-036B,1473.14.00,PAYLOAD,MEDIUM,EX USSR,2002,PKMTR
2021-11-01T04:58:37,2002-036C,1463.27.00,ROCKET BODY,LARGE,EX USSR,2002,PKMTR
2021-10-31T18:07:15,2000-047C,558.57.00,DEBRIS,SMALL,STATI UNITI,2000,AFWTR
2021-11-01T06:46:11,2002-037A,1235.27.00,PAYLOAD,LARGE,EX USSR,2002,TTMTR
2021-11-01T06:36:11,2002-037D,1244.15.00,ROCKET BODY,LARGE,EX USSR,2002,TTMTR
2021-11-01T04:58:37,2002-037G,1231.29.00,DEBRIS,LARGE,EX USSR,2002,TTMTR
2021-10-28T19:47:07,1961-028H,3360.49.00,DEBRIS,MEDIUM,STATI UNITI,1961,AFWTR
2021-11-01T04:58:37,1963-038P,782.03.00,DEBRIS,SMALL,STATI UNITI,1963,AFWTR
2021-11-01T06:46:11,1968-055J,668.43.00,DEBRIS,SMALL,STATI UNITI,1968,AFWTR
2021-10-31T18:07:15,1990-081CU,852.18.00,DEBRIS,SMALL,CINA,1990,TSC
2021-10-31T18:07:15,1997-005G,273.44.00,DEBRIS,SMALL,GIAPPONE,1997,KSCUT
2021-10-31T18:07:15,1998-043L,819.41.00,DEBRIS,SMALL,EX USSR,1998,TTMTR
2021-10-29T18:22:41,1999-057MM,670.12.00,DEBRIS,SMALL,CINA,1999,TSC
2021-11-01T04:58:37,1999-057MN,687.08.00,DEBRIS,SMALL,CINA,1999,TSC
2021-11-01T04:58:37,2002-037H,1245.35.00,DEBRIS,MEDIUM,EX USSR,2002,TTMTR
